#,Category,Question,Examiner standard,Rating,Notes
1,Model & first principles,"What is the state of the system, and why are those variables sufficient?",Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
2,Model & first principles,What are the governing balances or conservation laws?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
3,Model & first principles,What are the dimensions/units of every term in your core equation?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
4,Model & first principles,Which relationship is derived and which is empirical?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
5,Model & first principles,What is the simplest model that would falsify your current story?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
6,Model & first principles,"What happens in the zero, infinite, very-small and very-large limiting cases?",Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
7,Uncertainty & evidence,What is your largest epistemic uncertainty?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
8,Uncertainty & evidence,What is aleatory variability versus reducible ignorance here?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
9,Uncertainty & evidence,What observation most changes your posterior belief?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
10,Uncertainty & evidence,"Which measurement is a proxy, and how could the proxy decouple from the goal?",Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
11,Uncertainty & evidence,What negative result did you preserve rather than explain away?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
12,Uncertainty & evidence,Which result has not been independently reproduced?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
13,Causality & intervention,"What exactly is the intervention, population/system and outcome?",Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
14,Causality & intervention,What confounder would most threaten your conclusion?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
15,Causality & intervention,Where could conditioning/selection create a collider or survivorship problem?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
16,Causality & intervention,"What feedback does your intervention cause in agents, organisms or institutions?",Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
17,Causality & intervention,Which observed association would remain even if your mechanism were wrong?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
18,Causality & intervention,What experiment best distinguishes your favored mechanism from its strongest competitor?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
19,Optimization & control,"What is the objective function, and who chose it?",Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
20,Optimization & control,Show a scenario in which optimizing your metric makes the real objective worse.,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
21,Optimization & control,"What constraints are hard, soft, legal, safety-critical or merely conventional?",Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
22,Optimization & control,What state is unobservable or uncontrollable?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
23,Optimization & control,"What happens when feedback is delayed, saturated or noisy?",Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
24,Optimization & control,Which safety constraint is outside the optimizer's authority?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
25,Physics & scale,"Where do matter, energy, momentum, charge and heat go?",Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
26,Physics & scale,What is the dominant scaling law as size/throughput grows 1000×?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
27,Physics & scale,Which transport process becomes limiting at scale?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
28,Physics & scale,"What fails first: material, thermal, electrical, mechanical, biological or organizational?",Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
29,Physics & scale,Which current law of physics is your design leaning hardest on?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
30,Physics & scale,What would require new physics rather than better engineering?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
31,"Numerics, computation & AI",How do you know your numerical answer is not a conditioning/discretization artifact?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
32,"Numerics, computation & AI","What happens if the model changes its own tools, prompts or evaluator?",Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
33,"Numerics, computation & AI",Which part of your AI system is capability and which part is interface/scaffold?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
34,"Numerics, computation & AI",What benchmark shortcut could reverse your conclusion?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
35,"Numerics, computation & AI",What stays outside the self-improvement boundary and why?,Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
36,"Numerics, computation & AI","If foundation models become 10× stronger, which of your skills becomes more valuable rather than obsolete?",Rebuild/defend from memory; cite evidence when factual.,Pass / Revise / Fail,
